class,date,title
運動,2017/11/6,  中信兄弟一口氣釋出7個人，「五虎將」只留下兩位  
社會,2017/11/6,  讓遊俄男子被註銷戶籍的中國「邊境專用護照」，只有台灣人跟中國人可以申請  
運動,2017/11/6,  體育協會不甩《國體法》？體總撤掉民眾入會系統、決議不開放直選  
社會,2017/11/6,  上千公頃工業區只進駐一家廠商，賴清德提3策略解決產業缺地、囤地問題  
國際,2017/11/6,  巴拿馬文件2.0：「天堂文件」揭露英國女皇、美國部長海外金庫  
國際,2017/11/6,  美國德州教堂遭槍手掃射，至少26人死亡、10人受傷  
政治,2017/11/5,  《勞基法》七休一鬆綁「已是共識」，若通過勞工連續上班12天不違法  
國際,2017/11/5,  受害者愈爆愈多，Netflix不再與凱文史貝西合作  
政治,2017/11/5,  陸委會否定雙北赴中設「辦事處」，柯文哲：中央做得好就不用麻煩地方  
藝文,2017/11/5,  「我的文學屬於台灣」國家文藝獎得主鄭清文辭世，留下300篇台灣土地的故事  
國際,2017/11/5,  沙國王儲主導反貪腐委員會，逮捕11名王子、4位部長與數十名前官員  
社會,2017/11/4,  首次《身權公約》審查：只用「生病」的角度看待身心障礙者，是台灣最大的問題  
政治,2017/11/4,  英國求職網站稱台灣「中國的一省」，可能源自於這個「國際標準」  
社會,2017/11/4,  中國每年「海漂」500公噸廢棄物給金門，未來可能用「垃圾船」運回去  
社會,2017/11/4,  仲裁要求台東縣府用12億買回美麗灣？縣長：我們已經夠窮了  
社會,2017/11/3,  【影音】替立委站台、開直播賺外快——遠航工會成員遭解僱後的告白  
政治,2017/11/3,  《產創條例》三讀：投資新創最多可抵稅300萬，比新加坡還優惠  
國際,2017/11/3,  【影音】埃及大金字塔發現飛機大小的神秘「空間」，4500年來無人觸及！  
